rating|progress|edition_id|year|pages|title|author|publisher|status|finished_at|cover_filename|slug|book_id
4.5|100.0|774199|2018|208|Auto da Compadecida|Ariano Suassuna|Nova Fronteira|read|2026-07-30T02:32:39.088Z|https://skoob.s3.amazonaws.com/livros/1233/AUTO_DA_COMPADECIDA_15233185501233SK1523318551B.jpg|auto-da-compadecida-1233ed774199.html|1233
3.5|100.0|506715|2015|176|Você Sabe Estudar?|Claudio de Moura Castro|Penso|read|2026-07-22T03:33:02.610Z|https://skoob.s3.amazonaws.com/livros/447224/VOCE_SABE_ESTUDAR_1430277033447224SK1430277033B.jpg|voce-sabe-estudar-447224ed506715.html|447224
||122594907|2025|412|Como ler livros|Mortimer J. Adler, Charles Van Doren|Kírion|want_to_read||https://skoob.s3.amazonaws.com/livros/122592445/COMO_LER_LIVROS_1754094907122592445SK-V11754094907B.jpg|como-ler-livros-122592445ed122594907.html|122592445
||12149420|2022|400|Modus Operandi|Mabê|Intrínseca|want_to_read||https://skoob.s3.amazonaws.com/livros/12167275/MODUS_OPERANDI_165307037912167275SK-V11653070379B.jpg|modus-operandi-12167275ed12149420.html|12167275
||122609004|2025|232|Na cena do crime - por trás da fita amarela|Ricardo Salada|Principis|want_to_read||https://skoob.s3.amazonaws.com/livros/122605429/eb64081a629d0e43c62575e24d91595a.jpg|na-cena-do-crime-por-tras-da-fita-amarela-122605429ed122609004.html|122605429
4.5|100.0|122662256|2026|352|A Figura|Natalia Grecco|Maquinaria Editorial|read|2026-06-21T12:52:37.581Z|https://skoob.s3.amazonaws.com/livros/122659506/a8a04c298e1ac43d4f477ade2f402651.jpg|a-figura-122659506ed122662256.html|122659506
3.5|100.0|122439164|2024|208|Uma noite na livraria Morisaki|Satoshi Yagisawa|Bertrand Brasil|read|2026-06-18T12:45:32.061Z|https://skoob.s3.amazonaws.com/livros/122435179/UMA_NOITE_NA_LIVRARIA_MORISAKI_1711490408122435179SK-V11711490409B.jpg|uma-noite-na-livraria-morisaki-122435179ed122439164.html|122435179
||384856|2013|126|O velho e o mar|Ernest Hemingway|Bertrand Brasil|want_to_read||https://skoob.s3.amazonaws.com/livros/1434/O_VELHO_E_O_MAR_1378265189B.jpg|o-velho-e-o-mar-1434ed384856.html|1434
3.5|100.0|122662654|2026|304|A Ex|Freida McFadden|Editora Arqueiro|read|2026-06-12T22:08:12.267Z|https://skoob.s3.amazonaws.com/livros/122659893/65009c6d140f8b671301146622e185a0.png|a-ex-122659893ed122662654.html|122659893
||11918219|2021|240|Livros de Sangue: Volume 2 (Livros de Sangue #2)|Clive Barker|DarkSide Books|want_to_read||https://skoob.s3.amazonaws.com/livros/11923097/LIVROS_DE_SANGUE_2_162413091111923097SK-V11624130913B.jpg|livros-de-sangue-volume-2-livros-de-sangue-2-11923097ed11918219.html|11923097
||11664965|2020|240|Livros de Sangue: Volume 1 (Livros de Sangue #1)|Clive Barker|DarkSide Books|want_to_read||https://skoob.s3.amazonaws.com/livros/2567/LIVROS_DE_SANGUE_16013994882567SK1601399489B.jpg|livros-de-sangue-volume-1-livros-de-sangue-1-2567ed11664965.html|2567
