rating|progress|edition_id|year|pages|title|author|publisher|status|finished_at|cover_filename|slug|book_id
0.0|24.0|360331|2013|400|À espera de um milagre|Stephen King|Suma de Letras|reading||https://skoob.s3.amazonaws.com/livros/936/_ESPERA_DE_UM_MILAGRE_1663213563936SK-V11663213565B.jpg|a-espera-de-um-milagre-936ed360331.html|936
0.0|24.0|720472|2017|224|Microsserviços prontos para a produção|Susan J. Fowler|Novatec|reading||https://skoob.s3.amazonaws.com/livros/718698/MICROSSERVICOS_PRONTOS_PARA_A__1507060254718698SK1507060254B.jpg|microsservicos-prontos-para-a-producao-718698ed720472.html|718698
0.0|27.0|355150|2013|416|Sombras da noite|Stephen King|Suma|reading||https://skoob.s3.amazonaws.com/livros/1064/SOMBRAS_DA_NOITE_16632155001064SK-V11663215501B.jpg|sombras-da-noite-1064ed355150.html|1064
0.0|18.0|476101|2015|592|A guerra dos tronos (Crônicas do Gelo e Fogo #1)|George R. R. Martin|Leya|reading||https://skoob.s3.amazonaws.com/livros/16048/A_GUERRA_DOS_TRONOS_144987398816048SK1449873988B.jpg|a-guerra-dos-tronos-cronicas-do-gelo-e-fogo-1-16048ed476101.html|16048
0.0|47.0|122370295|2023|688|Elon Musk|Walter Isaacson|Simon and Schuster|reading||https://skoob.s3.amazonaws.com/livros/122363119/ELON_MUSK_1695164687122363119SK-V11695164688B.jpg|elon-musk-122363119ed122370295.html|122363119
|12.0|12040519|2019|120|O Resgate da Verdade|Douglas Reis, Luiz Gustavo Assis, Matheus Cardoso, Michelson Borges|MINISTÉRIO JOVEM DA IASD/ DSA|reading||https://skoob.s3.amazonaws.com/livros/350890/O_RESGATE_DA_VERDADE_1637692131350890SK-V11637692133B.jpg|o-resgate-da-verdade-350890ed12040519.html|350890
|68.0|11664970|2020|320|A garota da casa ao lado| Jack Ketchum |DarkSide Books|reading||https://skoob.s3.amazonaws.com/livros/11647642/A_GAROTA_DA_CASA_AO_LADO_160139974911647642SK1601399750B.jpg|a-garota-da-casa-ao-lado-11647642ed11664970.html|11647642
|31.0|122526052|2024|516|O caso Altamira|Ivan Mizanzuk|HarperCollins Brasil|reading||https://skoob.s3.amazonaws.com/livros/122524093/O_CASO_ALTAMIRA_1732452639122524093SK-V11732452640B.jpg|o-caso-altamira-122524093ed122526052.html|122524093
0.0||337520|2013|448|Garota exemplar|Gillian Flynn|Intrínseca|want_to_read||https://skoob.s3.amazonaws.com/livros/301237/GAROTA_EXEMPLAR_1360264778B.jpg|garota-exemplar-301237ed337520.html|301237
0.0||11963581|2021|308|A biblioteca da meia-noite|Matt Haig|Bertrand Brasil|want_to_read||https://skoob.s3.amazonaws.com/livros/11927296/A_BIBLIOTECA_DA_MEIANOITE_167245772611927296SK-V11672457729B.jpg|a-biblioteca-da-meia-noite-11927296ed11963581.html|11927296
0.0||888286|2019|256|Ed & Lorraine Warren (Arquivos Sobrenaturais #3)|Lorraine Warren|DarkSide Books|want_to_read||https://skoob.s3.amazonaws.com/livros/882005/ED_E_LORRAINE_WARREN_VIDAS_ET_1559145933882005SK1559145933B.jpg|ed-e-lorraine-warren-arquivos-sobrenaturais-3-882005ed888286.html|882005
0.0||587564|2016|336|Os Condenados|Andrew Pyper|DarkSide® Books|want_to_read||https://skoob.s3.amazonaws.com/livros/585783/OS_CONDENADOS_1464115707585783SK1464115707B.jpg|os-condenados-585783ed587564.html|585783
